id,name
__export__.eagleedu_classname_40_9a8c30fd,Rose
__export__.eagleedu_classname_41_521b8fd0,Kudrat-E-Khuda
__export__.eagleedu_classname_42_2efdacfe,Ebne-Sina
__export__.eagleedu_classname_43_90c06b01,Al-Biruni
__export__.eagleedu_classname_44_a237ad82,Al-Jabir
__export__.eagleedu_classname_45_2465a519,Al-Kemi
__export__.eagleedu_classname_46_4f8b460d,Al-Kanoon
__export__.eagleedu_classname_47_b3678636,Shapla
__export__.eagleedu_classname_48_b1dd3d60,Padma
__export__.eagleedu_classname_49_e151820f,Tulip
__export__.eagleedu_classname_50_b79b6ac5,Golap
__export__.eagleedu_classname_51_c70566c8,Joba
__export__.eagleedu_classname_52_e3ef4666,Dalia
__export__.eagleedu_classname_53_8d573596,Jinia
__export__.eagleedu_classname_54_23871296,Doel
__export__.eagleedu_classname_55_2c471831,Shama
__export__.eagleedu_classname_56_f819b9a9,Haqs
__export__.eagleedu_classname_57_e56e448f,Eagles
__export__.eagleedu_classname_58_b672c7a7,Tiger
__export__.eagleedu_classname_59_c445c088,Lion
__export__.eagleedu_classname_60_db88d7b2,Positron
__export__.eagleedu_classname_61_8f9043e7,Proton-Girls
__export__.eagleedu_classname_62_ea3a8ab9,Nutron
__export__.eagleedu_classname_63_39f4de6f,Zenon
__export__.eagleedu_classname_64_f62ae24c,Saai
__export__.eagleedu_classname_65_10b1fa73,Sigma
__export__.eagleedu_classname_66_e09bb46c,Omega
__export__.eagleedu_classname_67_d9f8f587,Radon
__export__.eagleedu_classname_68_7d2e7836,Alpha
__export__.eagleedu_classname_69_0bddecfb,Beta
__export__.eagleedu_classname_70_f1c5cbf0,Theta
__export__.eagleedu_classname_71_3fa08133,Theta-1
__export__.eagleedu_classname_72_a40b1d02,Delta
__export__.eagleedu_classname_73_70215900,Neptune
__export__.eagleedu_classname_74_ce68e566,Pluto
__export__.eagleedu_classname_75_9238e24b,Nova
__export__.eagleedu_classname_76_859936c2,Jupitar
